Vrsta_studija,Studij,Godina_studija,Semestar,ISVU_sifra,Naziv,Nastavnici,ECTS,Obavezan
preddiplomski sveučilišni,Informacijski sustavi,2,3,61775,Informacijski sustavi u uredskom poslovanju,Mekovec Renata Sabati Zvonimir Peras Dijana,3,NE
preddiplomski sveučilišni,Informacijski sustavi,2,3,61776,Marketing,Dobrinić Damir Gregurec Iva Tomašek Lucija,4,NE
preddiplomski sveučilišni,Informacijski sustavi,2,3,61770,Modeliranje poslovnih procesa,Tomičić-Pupek Katarina Vrček Neven Pihir Igor,5,DA
preddiplomski sveučilišni,Informacijski sustavi,2,3,61777,Poslovni engleski jezik 1,Fara Višnja,3,NE
preddiplomski sveučilišni,Informacijski sustavi,2,3,61778,Poslovni njemački jezik 1,Bunić Branko,3,NE
preddiplomski sveučilišni,Informacijski sustavi,2,3,61771,Programiranje 2,Radošević Danijel Konecki Mladen,5,DA
preddiplomski sveučilišni,Informacijski sustavi,2,3,61772,Strukture podataka,Lovrenčić Alen Okreša Đurić Bogdan Banić Bojan,6,DA
preddiplomski sveučilišni,Informacijski sustavi,2,3,95809,Tjelesna i zdravstvena kultura 3,Vučić Damir,0,DA
preddiplomski sveučilišni,Informacijski sustavi,2,3,61779,Uvod u formalne metode,Lovrenčić Sandra Čubrilo Mirko Sekovanić Vlatka,5,NE
preddiplomski sveučilišni,Poslovni sustavi,2,4,61780,Baze podataka 1,Rabuzin Kornelije Križanić Snježana Okreša Đurić Bogdan,6,DA
preddiplomski sveučilišni,Poslovni sustavi,2,4,61781,Mreže računala 1,Ivković Nikola Magdalenić Ivan Peras Marko Tomičić Igor Popović Elvis,6,DA
preddiplomski sveučilišni,Poslovni sustavi,2,4,61793,Odabrana poglavlja matematike,Divjak Blaženka Maretić Marcel Horvat Damir Žugec Bojan,7,NE
preddiplomski sveučilišni,Poslovni sustavi,2,4,61783,Operacijski sustavi 1,Magdalenić Ivan Golub Marin Ivković Nikola Milić Luka Popović Elvis,5,DA
preddiplomski sveučilišni,Poslovni sustavi,2,4,61795,Organizacijsko projektiranje,Fabac Robert,4,DA
preddiplomski sveučilišni,Poslovni sustavi,2,4,61798,Poslovni engleski jezik 2,Kovačić Andreja,3,NE
preddiplomski sveučilišni,Poslovni sustavi,2,4,61803,Poslovni njemački jezik 2,Bunić Branko,3,NE
preddiplomski sveučilišni,Poslovni sustavi,2,4,61808,Poslovni procesi u organizaciji,Pihir Igor Tomičić Furjan Martina Hrustek Larisa Kutnjak Ana Tomičić-Pupek Katarina,5,DA
preddiplomski sveučilišni,Poslovni sustavi,2,4,95810,Tjelesna i zdravstvena kultura 4,Vučić Damir,0,DA
